date	ma	pa	x85a	RLA	RNET
1963-1	8,942625046	-1,962019324	11,0381422	0,043133333	0,043133333
1963-2	8,964566231	-1,95727694	11,07714558	0,04396667	0,04396667
1963-3	8,96961689	-1,949260592	11,08023262	0,042066671	0,042066671
1963-4	9,000096321	-1,935459614	11,10122108	0,043533333	0,043533333
1964-1	9,009821892	-1,934680939	11,11693001	0,048966669	0,048966669
1964-2	9,015750885	-1,921114206	11,13065434	0,050000001	0,050000001
1964-3	9,031164169	-1,90945816	11,12984753	0,050700001	0,050700001
1964-4	9,022872925	-1,901074529	11,15284443	0,067933336	0,067933336
1965-1	9,037101746	-1,886811137	11,14001942	0,075199999	0,075199999
1965-2	9,048074722	-1,878494263	11,14682007	0,067699999	0,067699999
1965-3	9,045008659	-1,867207408	11,15663624	0,064366668	0,064366668
1965-4	9,069405556	-1,861141801	11,16788292	0,062533334	0,062533334
1966-1	9,081705093	-1,851006031	11,1701107	0,062433332	0,062433332
1966-2	9,07174778	-1,837887645	11,171772	0,063366666	0,063366666
1966-3	9,087351799	-1,827463984	11,17791462	0,0748	0,0748
1966-4	9,068623543	-1,818957925	11,17720127	0,073033333	0,073033333
1967-1	9,093347549	-1,820356488	11,20305252	0,06363333	0,06363333
1967-2	9,105233192	-1,807468891	11,20362473	0,056466669	0,056466669
1967-3	9,139699936	-1,804998159	11,21263123	0,055833332	0,055833332
1967-4	9,1422472	-1,797570229	11,21240139	0,072700001	0,072700001
1968-1	9,147200584	-1,780063391	11,25169086	0,080099992	0,080099992
1968-2	9,162391663	-1,760835528	11,23599911	0,082466662	0,082466662
1968-3	9,167718887	-1,748498917	11,26086807	0,076800004	0,076800004
1968-4	9,18167305	-1,73500514	11,26931095	0,0744	0,0744
1969-1	9,163696289	-1,723359942	11,25867844	0,084933333	0,084933333
1969-2	9,142368317	-1,715370297	11,26610374	0,092500001	0,092500001
1969-3	9,149969101	-1,704158187	11,27475739	0,096066669	0,096066669
1969-4	9,182487488	-1,689049602	11,2851963	0,089699998	0,089699998
1970-1	9,188287735	-1,665673852	11,27115917	0,091066666	0,091066666
1970-2	9,219826698	-1,649803758	11,29891491	0,080466665	0,080466665
1970-3	9,22886467	-1,628780842	11,30367279	0,075100005	0,075100005
1970-4	9,251270294	-1,610200644	11,3221035	0,072000004	0,072000004
1971-1	9,317152977	-1,587527394	11,30257511	0,075100005	0,075100005
1971-2	9,322932243	-1,56608057	11,32800484	0,065200001	0,065200001
1971-3	9,355652809	-1,54688704	11,34278965	0,058033332	0,058033332
1971-4	9,369451523	-1,530680895	11,34839249	0,047899995	0,047899995
1972-1	9,41031456	-1,517601371	11,34663486	0,049600005	0,049600005
1972-2	9,455727577	-1,50179565	11,36232376	0,056866664	0,056866664
1972-3	9,482050896	-1,480249882	11,35713673	0,077533334	0,077533334
1972-4	9,508102417	-1,454270124	11,40120029	0,080866665	0,080866665
1973-1	9,513747215	-1,429269433	11,44773579	0,100866675	0,100866675
1973-2	9,573444366	-1,422076821	11,44525719	0,089200005	0,089200005
1973-3	9,554556847	-1,386113763	11,45256996	0,127299994	0,127299994
1973-4	9,55994606	-1,333450556	11,44517136	0,147499993	0,147499993
1974-1	9,547273636	-1,291188717	11,42994595	0,15563333	0,15563333
1974-2	9,575563431	-1,225704789	11,44338226	0,133166671	0,133166671
1974-3	9,597913742	-1,18188858	11,45279312	0,127733335	0,127733335
1974-4	9,661143303	-1,129158735	11,4400425	0,126033336	0,126033336
1975-1	9,67970562	-1,069389462	11,42875004	0,11376667	0,11376667
1975-2	9,721723557	-1,010409474	11,41645908	0,097700007	0,097700007
1975-3	9,765751839	-0,966057122	11,41671181	0,10603334	0,10603334
1975-4	9,787089348	-0,928247809	11,42908764	0,114699997	0,114699997
1976-1	9,835809708	-0,897049904	11,44630432	0,093033336	0,093033336
1976-2	9,864172935	-0,857308388	11,45286751	0,10936667	0,10936667
1976-3	9,886633873	-0,825210392	11,46461678	0,117200002	0,117200002
1976-4	9,894062996	-0,783328116	11,48082542	0,151299998	0,151299998
1977-1	9,921626091	-0,748871565	11,46395588	0,11416667	0,11416667
1977-2	9,964324951	-0,713922918	11,46809578	0,079000004	0,079000004
1977-3	10,03394413	-0,694660604	11,47088432	0,067400001	0,067400001
1977-4	10,08959103	-0,679869592	11,48822308	0,061466668	0,061466668
1978-1	10,14702129	-0,658008575	11,50384426	0,065966673	0,065966673
1978-2	10,17146111	-0,634661436	11,51093388	0,090966672	0,090966672
1978-3	10,20636845	-0,611669004	11,51481342	0,096699998	0,096699998
1978-4	10,23873138	-0,580816209	11,51424503	0,118266664	0,118266664
1979-1	10,2680521	-0,557032526	11,51036263	0,129199997	0,129199997
1979-2	10,28792858	-0,525688112	11,56920147	0,126900002	0,126900002
1979-3	10,31501675	-0,474592924	11,55258846	0,14199999	0,14199999
1979-4	10,32517624	-0,430637985	11,55743027	0,162433326	0,162433326
1980-1	10,32416439	-0,388055563	11,55025959	0,182133332	0,182133332
1980-2	10,34877014	-0,346234143	11,52740002	0,172533333	0,172533333
1980-3	10,34426689	-0,315896094	11,51986122	0,158800006	0,158800006
1980-4	10,36892319	-0,287200421	11,5022583	0,153600007	0,153600007
1981-1	10,4006424	-0,266190618	11,49602318	0,131066665	0,131066665
1981-2	10,44121075	-0,245542198	11,50170231	0,124733336	0,124733336
1981-3	10,45850277	-0,223976493	11,52473545	0,148233324	0,148233324
1981-4	10,47041893	-0,196367249	11,52024841	0,157233328	0,157233328
1982-1	10,49160767	-0,182671472	11,5246067	0,140433341	0,140433341
1982-2	10,50364208	-0,17028065	11,53483391	0,133900002	0,133900002
1982-3	10,53364182	-0,154332876	11,52830696	0,111700006	0,111700006
1982-4	10,57989502	-0,135389656	11,53530312	0,100466661	0,100466661
1983-1	10,62196159	-0,118714526	11,56030464	0,112733334	0,112733334
1983-2	10,6430645	-0,115834624	11,56340027	0,100233331	0,100233331
1983-3	10,65662384	-0,100409538	11,57940578	0,098366663	0,098366663
1983-4	10,68925953	-0,085648358	11,58593464	0,092900008	0,092900008
1984-1	10,74417114	-0,076297335	11,59621811	0,092100002	0,092100002
1984-2	10,77895641	-0,060491506	11,5986166	0,093766667	0,093766667
1984-3	10,81311607	-0,044426952	11,60698032	0,112100005	0,110477135
1984-4	10,83283234	-0,025568582	11,62328529	0,101266667	0,096081287
1985-1	10,89055347	-0,005038176	11,63711452	0,131700009	0,114226319
1985-2	10,92184734	-0,000862374	11,64120388	0,125633344	0,084367976
1985-3	10,96647263	2,64641E-05	11,6385622	0,115866676	0,054031551
1985-4	11,00595951	0,005797476	11,6457243	0,116466664	0,04219608
1986-1	11,0698204	0,011318875	11,66176796	0,12083333	0,03615918
1986-2	11,12334347	0,009450225	11,67359734	0,099600002	0,026583955
1986-3	11,18576813	0,015703	11,69037724	0,100233331	0,030444622
1986-4	11,21636391	0,033919029	11,69980335	0,112100005	0,038833812
1987-1	11,28095531	0,04412213	11,70220566	0,104166664	0,029187262
1987-2	11,33997631	0,053732339	11,72436905	0,091466673	0,027721949
1987-3	11,37746048	0,066342071	11,75053978	0,098966673	0,036885221
1987-4	11,42053604	0,078016959	11,7605505	0,089833334	0,026500814
1988-1	11,47078991	0,083596192	11,76858997	0,088566668	0,029816803
1988-2	11,51177502	0,094012685	11,78487396	0,083366677	0,029199716
1988-3	11,53831005	0,116345875	11,80332375	0,115033343	0,049366362
1988-4	11,55502701	0,131209552	11,81118393	0,126466662	0,050716676
1989-1	11,60225391	0,141787469	11,82651615	0,129366666	0,046366669
1989-2	11,64049149	0,160944715	11,82610703	0,135600001	0,052600004
1989-3	NA	0,171886295	11,84075356	0,14046666	0,057466663
1989-4	NA	NA	NA	0,152199998	0,063200004
